username,name,gender,age,location,bio,picture,class
EZpz,Emma Zhu,Female,23,"Lincoln, NE","Love yourself, by stuffing all-you-can-eat buffets into your tummy 🤤🤤",bobaPP.jpg,
fgonzalez,MomFiona,Female,45,austin texas,,genericphoto2.png,
fusionfeast,Max Cho,Male,23,NJ,"Korean-Mexican fusion, inside and out.",image-14.png,
gwenfromtheblock,GwenfromtheBlock,Female,28,Nashville,Traveller ✈️🌍,person 2.jpeg,
hockeymom101,Tracey Green,Female,37,"Hanover, NH",proud mom of two amazing boys!,15.png,
HP743,Heather,Female,25,,Master Chef and Steering Wheel Karaoke Enthusiast,bot1.png,
jackrussellmom,Karen Laretti,Female,33,"Chula Vista, CA",love my jack russels 🐕🐕,image-8.jpg,
jake_turk,Jake T.,Male,30,NY,insert witty bio here,jaket.jpeg,
Jcole9,jcole,Male,48,Charlotte,Sharing Momma's Carolina BBQ with the world.,image-120.png,
jiruletheworld,Jin Ying,Male,23,,"Workout 💪, Travel ✈️, Eat 🥣",Bot-SP18.22.png,
john73,John,Male,31,"Seattle, WA","I love my kids, my wife, and my '73 mustang.",men10.jpg,
JuniperQ,JuniperQ,male,20,AMERICA,,343kol.png,
jupiterpride,Jamie Taggart,Male,26,"Jupiter, FL","eating whatever and having a blast in Jupiter, FL!",image-51.png,
karenM,Karen M.,Female,39,CA,trust in the Lord ✝️,female-76.jpg,
KatieeeM,KatieeeM,Female,25,Tatooine,May the (food) force be with you always,Bot-Sp18.9.JPG,
kittycatbakes,KittyCatBakes,Female,29,,"beginning traveller, amateur knitter, intermediate baker",image-45.png,
lavenderrrrrr,Sofia,Female,38,"Maui, HI",semi-pro food photographer 📸,image-9.png,
lee.alexa,Alexa Lee,Female,25,"Plano, TX","blogger, dreamer, traveller, chef",image-15.png,
Lisa181818,Lisa,Female,38,Proud Red State--KY,Health-convious mama in Kentucky. ❌ GMO ✔️ Natural Food,Bot-Sp18.3.jpg,
livelaughlove,Elizabeth Newman,Female,35,,"love my husband, kids, and creative cooking... oh, and don't forget the wine!",150.jpg,
localewis,Remy Lewis,Male,25,"Lincoln, NE",The coolest locavore bartender in the West.,male-33.jpg,
lucyinurdreams,Lucy Gregory,Female,28,NYC,"Cooking is like painting. Like colors, there are only so many flavors - it's how you combine them that sets you apart. ",Bot-SP18.21.png,
M.Kapadia92,Mo Kapadia,Male,27,"New York, NY","Foodie 😋, photographer 📷, traveller ✈️, (aspiring) restaurant critic 🍽️.",0.jpg,
MannyDL34,Manuel De Leon,Male,30,,gotta eat em all,6.jpg,
Marcymaniac,Marcel Bauld,Male,21,"Fargo, ND",Keep on Rocking in the free world,13.png,
mariaann,mariaann,Female,38,Santa Fe!!!,,Bot-Sp18.12.JPG,
masterchefterry,masterchefterry,Male,32,"Washington, DC",I'm a chef with a side job as lawyer,Bot-Sp18.13.JPG,
mateoV,Mateo,Male,40,My house & mturk,burgers beer &baseball,genericphoto4.png,
MedicalRyan,Ryan Loves TACO,Male,28,"West coast, best coast",MD Student at UCLA. TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮 TACOS 🌮,Bot-Sp18.2.jpg,
mewranda,mewranda,Female,22,Home with 6 cats,Cat & Food & Love,genericphoto1.png,
MrShazam,MrShazam,Female,40,,,clintonclinton.png,
NoahM1121,Noah Marshall,Male,28,PA,breakfast all day,genericphoto3.png,
PatelS,Shristi Patel,Female,25,Wakanda or Hogwarts,Not your every day Indian girl who loves butter chicken.,Bot-Sp18.5.jpg,
ria_camiii,Valeria Camilo,Female,28,"Wichita, KA",a smile is never the wrong decision,image-18.png,
SamTHEMAN,Sam Kaldis,Male,20,"Green Bay, WI","UC '20      
Just looking for good friends, good food and good times",16.jpg,
Smitty12,Dennis Smith,Male,24,"Boston, MA",Lover of all things Boston,11.jpg,
SnakeCharmer,Bao,Male,23,my heart is in Houston,love to travel and eat!,139.jpg,
snowbird,Jake Owens,Male,32,"Burlington, VT",eat + sleep + tear it up,1.jpg,
southerngirlCel,Celia McCarron,Female,21,"Scottsdale, AR",,bot43.jpg,
Sue_S,Sue Shaw,Female,45,"Boise, ID",one day at a time,genericphoto6.png,
sweetietooth,Wendy,Female,42,"Champaign, IL","I have a constant sweet tooth, so I like anything from the bakery, like cupcakes, cookies.",Bot-SP18.17.png,
sweetpea,Anna,Female,25,"San Francisco, CA",the best thing in life is seeing my mom's face when I cook for *her* for a change,women81.jpg,
tacoguy,Santiago Coros,Male,28,your moms house,real life: grad student in physics. dream life: taco truck owner,male-78.jpg,
tastyrobot,TastyHae,Female,24,"Pittsburgh, PA","i'd say that fast food is my guilty pleasure, but I don't actually feel guilty about it.",image-80.png,
this_jack,Jack Boy,Male,26,"New York, NY",👃 It's a car air freshner that I stick into my nose.,Bot-Sp18.4.jpg,
thisisalfie1998,thisisalfie1999,Male,20,Chicago,HDA '15 --> UChi '19 Go bears!!!,Bot-Sp18.16.jpg,
TimBJenkins,Dad Jenkins,Male,42,,Husband of a strong businesswoman and father of a beautiful ballerina,Bot-Sp18.14.jpg,
TomM41,Tom Mallott,Male,45,"Florida
",Business Professional. Husband. Father.,14.jpg,
VitaBOCA,VitaBOCA,Female,25,"New York, NY","✔️Fat Loss Never Tasted So Good.
✔️Reduces Cravings.
✔️Enhances Mood.
✔️Enhances Definition & Leanness.
✔️All Day, Smooth Energy.",VitaBOCA.png,
wiz_khaleesi,Wiz Khaleesi,Female,25,,👽,image-89.png,
youngcunningham,Michael Cunningham,Male,22,TN,football is life. UT Nutrition Program '18.,3.jpg,
generic-joe,Joe G.,Male,25,"Ithaca, NY",I'm generic!,,
